"ID","SITE","STRAT","UNIT","NAMED_ID","OTHERUNIT","RAWMATERIAL","CORTEX","CORTEXTYPE","ARTIFACTCLASS","COMPLETENESS","CORECOMPLETENESS","RETOUCHEDPIECETYPOLOGY","RETOUCHTYPE","RETOUCHFACE","RETOUCHREGIONNUMBER","RETOUCHREGIONLOCATION","LENGTHLONGESTRETOUCH","RETOUCHINVASIVENESS","EDGETHICKNESS_1","EDGETHICKNESS_2","EDGETHICKNESS_3","BACKEDTOOLEDGE_1","BACKEDTOOLEDGE_2","BACKEDTOOLEDGE_3","BACKEDTOOLWIDTH_1","BACKEDTOOLWIDTH_2","BACKEDTOOLWIDTH_3","BACKEDTOOLTHICKNESS_1","BACKEDTOOLTHICKNESS_2","BACKEDTOOLTHICKNESS_3","BACKEDTOOLARRIS","PLATFORM","FLAKEINITIATION","FLAKETERMINATION","PIECEBLANK","SCRAPERMAXTHICKNESS","SCRAPERRETOUCHLENGTH","SCRAPERRETOUCHANGLE1","SCRAPERRETOUCHANGLE2","SCRAPERRETOUCHANGLE3","SCRAPERDORSALANGLE1","SCRAPERDORSALANGLE2","SCRAPERDORSALANGLE3","SCRAPERRETOUCHHEIGHT1","SCRAPERRETOUCHHEIGHT2","SCRAPERRETOUCHHEIGHT3","FLAKEGEOMETRY","PLATFORMPREP","PLATABRASION","PLATFORMWIDTH","PLATFORMTHICKNESS","STAGE","CONARDUNIFIEDTYPE","CORESUBTYPOLOGY","COREBLANKSPHERICITY","COREPLATFACETED","SCARCOUNT","EXPLOITEDFACES","FLAKEGENERATIONSLENGTH","FLAKEGENERATIONSWIDTH","FLAKEGENERATIONSTHICKNESS","LENGHTLONGESTFLAKESCAR","MAXLENGTH","TECHLENGTH","MAXWIDTH","TECHWIDTH","MAXTHICKNESS","MASS","COMMMENTS","PHOTO"
"447","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"OVAL","NotPrepared","No",12.38,2.86,"","","","","",,,,,,,11.91,,15.82,,3.26,0.68,"","N"
"448","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","Yes",19.79,5.04,"Main","","","","",,,,,,,11.1,8.49,21.48,21.48,3.27,1.03,"","N"
"449","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","NotPrepared","No",3.68,1.68,"Main","","","","",,,,,,,10.63,10.63,9.64,9.64,1.4,0.25,"","N"
"450","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","1-10%","Cobble","Flake","Fragment","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,16.24,,7.79,,4.55,0.52,"","N"
"451","SBF","4","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Fragment","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"TRAPEZOIDAL","","",,,"","","","","",,,,,,,12.52,,12.95,,3.75,0.56,"","N"
"45","SBF","4b","I3","Organic Shaman II","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Platform","Irregular","Cubic","1-10%",3,3,1,2,4,11.06,21.17,21.17,13.63,13.63,6.35,2.49,"","N"
"452","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",5.38,3.2,"Main","","","","",,,,,,,15.36,15.36,5.03,5.03,2.92,0.26,"","N"
"453","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","Indeterminate","No",12.15,4.37,"Main","","","","",,,,,,,8.99,8.99,12.14,10.7,4.65,0.39,"","N"
"454","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"TRAPEZOIDAL","","",,,"","","","","",,,,,,,8.22,,10.3,,1.19,0.15,"","N"
"455","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Mesial","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"KITE","","",,,"","","","","",,,,,,,21.05,,15.59,,3.68,1.64,"","N"
"456","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","NotPrepared","No",4.92,1.57,"Main","","","","",,,,,,,12.96,12.96,9.86,9.86,2.02,0.34,"","N"
"557","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","1-10%","Cobble","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",6.08,2.72,"","","","","",,,,,,,18.07,,10.47,,2.69,0.51,"","N"
"457","SBF","4a","J3","2.69","","Quartz","10-40%","Cobble","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,6.79,,18.59,,4.5,0.59,"","N"
"458","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"TRAPEZOIDAL","NotPrepared","No",11.51,3.85,"","","","","",,,,,,,14.32,,16.61,,4.24,0.9,"","N"
"459","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","10-40%","Cobble","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","NotPrepared","No",7.11,2.33,"Main","","","","",,,,,,,28.39,22.61,25.16,25.16,5.35,4.09,"","N"
"460","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",6.09,2.8,"Main","","","","",,,,,,,13.09,13.09,12.19,12.19,2.23,0.46,"","N"
"46","SBF","4b","I3","Organic Shaman II","","Silcrete","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Platform","Irregular","Cubic","1-10%",4,2,2,5,6,13.76,26.24,26.24,17.84,17.84,9.87,7.81,"","N"
"461","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","10-40%","Cobble","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",9.52,5.96,"Main","","","","",,,,,,,38,38,26.12,26.12,12.92,14.71,"","N"
"462","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"TRIANGULAR","NotPrepared","No",14.65,5.99,"","","","","",,,,,,,23.26,,31.56,,8.61,10.62,"","N"
"463","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",6.21,1.38,"Main","","","","",,,,,,,13.72,13.72,7.77,7.77,1.8,0.23,"","N"
"464","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","10-40%","Cobble","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,14.23,,11.92,,3.52,0.62,"","N"
"465","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,10.99,,13.20,,3.33,0.76,"","N"
"466","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","10-40%","Cobble","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"TRAPEZOIDAL","NotPrepared","No",7.21,1.9,"Main","","","","",,,,,,,23.47,23.47,15.79,15.79,4.88,2.11,"","N"
"467","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"TRIANGULAR","NotPrepared","No",20.92,9.65,"Main","","","","",,,,,,,35.57,35.57,27.65,27.65,8.39,8.10,"","N"
"468","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartz","1-10%","Outcrop","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",9,4.72,"","","","","",,,,,,,16.78,,15.4,,4.28,1.38,"","N"
"469","SBF","4a","J3","Lower Furnace (Somephinx)","","Hornfels","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","ResidualFacetWithBulb","Yes",8.58,4.4,"Main","","","","",,,,,,,17.18,17.18,20.5,20.5,6.17,2.21,"","N"
"470","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,6.79,,10.98,,3.98,0.31,"","N"
"47","SBF","4b","I4","Witch II","","Silcrete","0%","","Flake","Proximal","","","","","","",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes","Hertzian","Indeterminate","",0,0,0,0,0,0,0,0,0,0,0,"SQUARE","NotPrepared","No",3.09,1.37,"","","","","",0,0,0,0,0,0,10.92,0,14.36,0,2.68,0.47,"","N"
"471","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",9.51,4.71,"Main","","","","",,,,,,,11.38,11.38,9.51,8.12,3.56,0.42,"","N"
"472","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",10.63,4.81,"Main","","","","",,,,,,,9.14,9.14,17.39,17.39,4.88,0.88,"","N"
"473","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","10-40%","Cobble","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"RECTANGULAR","ResidualFacetWithBulb","No",23.57,6.2,"Main","","","","",,,,,,,16.19,14.08,22.76,22.76,3.89,2.36,"","N"
"474","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Fragment","","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"RECTANGULAR","","",,,"","","","","",,,,,,,7.46,,14.46,,3.46,0.53,"","N"
"475","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",6.03,1.71,"","","","","",,,,,,,11.95,,9.02,,2.09,0.25,"","N"
"476","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"TRIANGULAR","Indeterminate","No",3.2,1.15,"Main","","","","",,,,,,,12.58,12.58,13.09,9.84,2.19,0.32,"","N"
"477","SBF","4a","J3","Lower Furnace (Somephinx)","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Overshot","",,,,,,,,,,,,"KITE","NotPrepared","No",7.7,3.41,"Main","","","","",,,,,,,19.68,19.68,20.59,20.59,8.31,2.67,"","N"
